"\reactjs\cadviewer-conversion-server-nextgen\content\custom\hld.com\MOSTown_PHASE 5_L2_20241119 EDITED.dwg","C:\reactjs\cadviewer-conversion-server-nextgen\\converters\files\F0deeb5e0402737b50590b33068accdbbfae295ef.svg",Conversion to SVG,0.243,7424 Kb
"\reactjs\cadviewer-conversion-server-nextgen\content\custom\hld.com\MCP Discovery_L1_20240812 EDITED.dwg","C:\reactjs\cadviewer-conversion-server-nextgen\\converters\files\F65677dba17773988b4a2fb72a9e13a320e9469c5.svg",Conversion to SVG,1.703,11756 Kb
"C:\reactjs\cadviewer-conversion-server-nextgen\\\content\custom\tests\lineweights.dwg","C:\reactjs\cadviewer-conversion-server-nextgen\\converters\files\F76a5805d41c715c05d6be51175f7dd9682449ca8.svg",Conversion to SVG,0.065,5236 Kb
"C:\reactjs\cadviewer-conversion-server-nextgen\\\content\custom\tests\lineweights.dwg","C:\reactjs\cadviewer-conversion-server-nextgen\\converters\files\F6b2f09455909872c74e953321389ea6d200e11d4.svg",Conversion to SVG,0.255,5404 Kb
"C:\reactjs\cadviewer-conversion-server-nextgen\\\content\custom\tests\lineweights.dwg","C:\reactjs\cadviewer-conversion-server-nextgen\\converters\files\F855b1534013954153a39789884b576ab749aa89d.svg",Conversion to SVG,0.06,5380 Kb
"C:\reactjs\cadviewer-conversion-server-nextgen\\\content\custom\tests\lineweights.dwg","C:\reactjs\cadviewer-conversion-server-nextgen\\converters\files\Fc39497d8d35f88e7260ff303b66c862dfc799e5a.svg",Conversion to SVG,0.17,5232 Kb
"C:\reactjs\cadviewer-conversion-server-nextgen\\\content\custom\tests\lineweights.dwg","C:\reactjs\cadviewer-conversion-server-nextgen\\converters\files\F742bf2ae34ee4dcdc290676b3c83fce64399326f.svg",Conversion to SVG,0.111,5232 Kb
"C:\reactjs\cadviewer-conversion-server-nextgen\\\content\custom\tests\lineweights.dwg","C:\reactjs\cadviewer-conversion-server-nextgen\\converters\files\F4b77f2ef9b22ef9ca31ed97b7abc96085d1d4ca1.svg",Conversion to SVG,0.25,5440 Kb
"C:\reactjs\cadviewer-conversion-server-nextgen\\\content\custom\tests\lineweights.dwg","C:\reactjs\cadviewer-conversion-server-nextgen\\converters\files\F11025f6156982dcbb4616c26681f9ed1af5fac06.svg",Conversion to SVG,0.07,5380 Kb
"C:\reactjs\cadviewer-conversion-server-nextgen\\\content\custom\tests\lineweights.dwg","C:\reactjs\cadviewer-conversion-server-nextgen\\converters\files\F46e342e181c94f267c6499d2394ba673a851368a.svg",Conversion to SVG,0.087,5268 Kb
"C:\reactjs\cadviewer-conversion-server-nextgen\\\content\custom\tests\lineweights.dwg","C:\reactjs\cadviewer-conversion-server-nextgen\\converters\files\F0b9a5fc7810cc89523476b91f259417de2c15208.svg",Conversion to SVG,0.082,5320 Kb
"C:\reactjs\cadviewer-conversion-server-nextgen\\\content\custom\tests\lineweights.dwg","C:\reactjs\cadviewer-conversion-server-nextgen\\converters\files\F91e1e22d86ed063b04f0c3bc4eb65b3690d6da00.svg",Conversion to SVG,0.077,5288 Kb
"C:\reactjs\cadviewer-conversion-server-nextgen\\\content\custom\tests\lineweights.dwg","C:\reactjs\cadviewer-conversion-server-nextgen\\converters\files\F3c4f066815db986c354b78365ae4eaf2dc295c51.svg",Conversion to SVG,0.507,5284 Kb
"C:\reactjs\cadviewer-conversion-server-nextgen\\\content\custom\tests\lineweights.dwg","C:\reactjs\cadviewer-conversion-server-nextgen\\converters\files\F63a2eddce7ccaab86b30451b0aec547a79ff49f2.svg",Conversion to SVG,0.18,5220 Kb
"C:\reactjs\cadviewer-conversion-server-nextgen\\\content\custom\tests\lineweights.dwg","C:\reactjs\cadviewer-conversion-server-nextgen\\converters\files\Fd9b3197443efde582e55e9c50728500629c5da50.svg",Conversion to SVG,0.113,5312 Kb
"C:\reactjs\cadviewer-conversion-server-nextgen\\\content\custom\tests\lineweights.dwg","C:\reactjs\cadviewer-conversion-server-nextgen\\converters\files\F28e74c42f5f65067775b693ba50ce18cb7de4129.svg",Conversion to SVG,0.066,5400 Kb
"C:\reactjs\cadviewer-conversion-server-nextgen\\\content\custom\tests\lineweights.dwg","C:\reactjs\cadviewer-conversion-server-nextgen\\converters\files\F2af4e0330ef1e8965389bdadfe980fd517c4dfdf.svg",Conversion to SVG,0.103,5320 Kb
"C:\reactjs\cadviewer-conversion-server-nextgen\\\content\custom\tests\lineweights.dwg","C:\reactjs\cadviewer-conversion-server-nextgen\\converters\files\F3d56eb5b02a602a0889118985ed1583f49da9558.svg",Conversion to SVG,0.395,5288 Kb
"C:\reactjs\cadviewer-conversion-server-nextgen\\\content\custom\tests\lineweights.dwg","C:\reactjs\cadviewer-conversion-server-nextgen\\converters\files\F0b818bb2a3f6d11674ce5a7250a318c395a0f9d7.svg",Conversion to SVG,0.101,5388 Kb
"C:\reactjs\cadviewer-conversion-server-nextgen\\\content\custom\tests\lineweights.dwg","C:\reactjs\cadviewer-conversion-server-nextgen\\converters\files\F51865114f5ad6b67078abb7f9a7e9d5a3e62b415.svg",Conversion to SVG,0.095,5260 Kb
"C:\reactjs\cadviewer-conversion-server-nextgen\\\content\custom\tests\lineweights.dwg","C:\reactjs\cadviewer-conversion-server-nextgen\\converters\files\F2687f7a7ec5fcbbe729a075ba7e5fc6b9052f9d0.svg",Conversion to SVG,0.111,5328 Kb
"C:\reactjs\cadviewer-conversion-server-nextgen\\\content\custom\tests\lineweights.dwg","C:\reactjs\cadviewer-conversion-server-nextgen\\converters\files\F891870ec929d2460580c4c00e513d180badb689d.svg",Conversion to SVG,0.071,5340 Kb
"C:\reactjs\cadviewer-conversion-server-nextgen\\\content\custom\tests\lineweights.dwg","C:\reactjs\cadviewer-conversion-server-nextgen\\converters\files\F4c9945427b3be492292c3ff4d06642fb119a3b3a.svg",Conversion to SVG,0.114,5268 Kb
"C:\reactjs\cadviewer-conversion-server-nextgen\\\content\custom\tests\lineweights.dwg","C:\reactjs\cadviewer-conversion-server-nextgen\\converters\files\F34b2a08868e0bff43d5ba79f99075d66d4a8c9d5.svg",Conversion to SVG,0.155,5480 Kb
"C:\reactjs\cadviewer-conversion-server-nextgen\\\content\custom\tests\lineweights.dwg","C:\reactjs\cadviewer-conversion-server-nextgen\\converters\files\Fd8649973ce4b08676e0d40dc058c74fe25836f35.svg",Conversion to SVG,0.051,5400 Kb
"C:\reactjs\cadviewer-conversion-server-nextgen\\\content\custom\tests\lineweights.dwg","C:\reactjs\cadviewer-conversion-server-nextgen\\converters\files\F4cd8932152eb62912524d8c4eeae8a3a9f1d0d81.svg",Conversion to SVG,0.093,5264 Kb
"C:\reactjs\cadviewer-conversion-server-nextgen\\\content\custom\tests\lineweights.dwg","C:\reactjs\cadviewer-conversion-server-nextgen\\converters\files\F6ab8478d4f600aabf9cef889d10884d3435fc344.svg",Conversion to SVG,0.06,5384 Kb
"C:\reactjs\cadviewer-conversion-server-nextgen\\\content\custom\tests\lineweights.dwg","C:\reactjs\cadviewer-conversion-server-nextgen\\converters\files\Fd16f0abbb37325a0597b725c6f5d05b6c013a61e.svg",Conversion to SVG,0.282,5252 Kb
